,Titre,Language,genre,Directors,Liste acteurs,startYear,averageRating,Poster,weighted_rating
0,Perdiamoci di vista!,it,Comedy,Carlo Verdone,['Carlo Verdone'],1994,6.0,/se5VPhuNZxPUkf1ZvhvK06FK2va.jpg,5.97891738494475
1,Tifosi,it,Comedy,Neri Parenti,"['Maurizio Mosca', ' Giuseppe Quintale', ' Giampiero Galeazzi', ' Massimo Boldi']",1999,5.0,/4KVCrKc22nOVTFs7fH9dYH7sTuK.jpg,5.27125021003742
2,Facciamo paradiso,it,Comedy,Mario Monicelli,"['Moni Ovadia', ' Corrado Meotti', ' Margherita Buy']",1995,5.0,/wFqV6t0ccTWPMmn5PouHRuGnwM1.jpg,5.737167368918728
3,Piedipiatti,it,Comedy,Carlo Vanzina,"['Terry Schiavo', ' Enrico Montesano']",1991,5.0,/cyufFOg2oxBcC769jAcsEA0jVUP.jpg,5.49456519777193
4,Metronotte,it,Crime,Francesco Calogero,"['Anna Safroncik', ' Riccardo Cannone', ' Diego Abatantuono']",2000,6.0,/jVbh7TtsY4Ud0wbjNoNZ4lTaFWJ.jpg,5.94876626671032
5,La lingua del santo,it,Comedy,Carlo Mazzacurati,['Antonio Albanese'],2000,6.0,/cC9XDS8nRHhkGKZ9ygcPSaLPf7I.jpg,5.968858885395489
6,Django 2: il grande ritorno,it,Western,Nello Rossati,['Franco Nero'],1987,5.0,/szuTsYlfLY2tqISRi6Q61ujYDWG.jpg,5.270621952457715
7,Курочка Ряба,it,Comedy,Andrey Konchalovskiy,['Inna Churikova'],1994,6.0,/pAm8qGWw1DBs7IkVkOJjXhVHDjz.jpg,5.965354683539781
8,Lamerica,it,Comedy,Gianni Amelio,"['Carmelo Di Mazzarelli', ' Gianni Amelio', ' Andrea Porporati', ' Enrico Lo Verso']",1994,7.0,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,6.810179654987339
9,Botte di Natale,it,Comedy,Terence Hill,['Terence Hill'],1994,6.0,/w6nwX5mEfHoitROSSoAgrNrrFTg.jpg,5.993186662190913
10,Il testimone dello sposo,it,Comedy,Pupi Avati,"['Luca Cassol', ' Saverio Laganà', ' Ada Maria Serra Zanetti', ' Diego Abatantuono']",1997,6.0,/gEULENMuYUyUFVMMXAOLIKpQVdr.jpg,5.965354683539781
11,Fantozzi - Il ritorno,it,Comedy,Neri Parenti,"['Maria Cristina Maccà', ' Paolo Villaggio']",1996,5.0,/cf2oXrgY0pvmytVFzxclSc3g9t.jpg,5.268600064307169
12,Il bambino e il poliziotto,it,Comedy,Carlo Verdone,"['Isabella De Bernardi', ' Carlo Verdone']",1989,5.0,/graCptGvXMXQ2FeCKjntuOV6qNs.jpg,5.442579651415221
13,L'amico del cuore,it,Comedy,Vincenzo Salemme,['Vincenzo Salemme'],1998,6.0,/btY5lTmtuDVuEmRRRNUB44UM8Jx.jpg,5.965280970100504
14,Caro diario,it,Biography,Nanni Moretti,"['Juan Luis Guerra', ' Enrico Ruggeri', ' Nanni Moretti']",1993,7.0,/gdBqvbeQB9yRLEJu0L6fogR455Z.jpg,6.939862720096475
15,La vita è bella,it,Comedy,Roberto Benigni,"['Massimo Bianchi', ' Sergio Bini Bustric', ' Roberto Benigni']",1997,8.0,/f7DImXDebOs148U4uPjI61iDvaK.jpg,7.998538961252401
16,Tutti gli uomini del deficiente,it,Comedy,Paolo Costella,"['Valeria Anna Ferrario', ' Dino Meneghin', ' Maurizio Crozza', ' Carlo Taranto']",1999,5.0,/tccMEnkKzL09lxjtR87AS4Wy0lf.jpg,5.281544645719562
17,Wicked Ways,it,Drama,Ron Senkowski,"['Jeffrey D. Smith', ' Lauren Summers', ' Rebecca De Mornay']",1999,5.0,/jdLX8TxmbHVV7v0LPvrFZYv3zuk.jpg,5.4511236601298005
18,Io e mia sorella,it,Comedy,Carlo Verdone,"['Galeazzo Benti', ' Carlo Verdone']",1987,6.0,/j1AvDadbw5ASimUmOhZVLzMszlq.jpg,5.972574883944936
19,La sindrome di Stendhal,it,Horror,Dario Argento,"['Maximilian Nisi', ' Massimo Venturiello', ' Asia Argento']",1996,6.0,/hYGuGcIOBG4RRucfRB1m3PJLq3M.jpg,5.996470269510542
20,Jack Frusciante è uscito dal gruppo,it,Drama,Enza Negroni,"['Giorgio Comaschi', ' Roberto Freak Antoni', ' Roberto Mantovani', ' Stefano Accorsi']",1996,5.0,/zlmMxXxXO6xjU1zLvUTTmhxBrP8.jpg,5.394067547971732
21,Fantozzi va in pensione,it,Comedy,Neri Parenti,['Paolo Villaggio'],1988,6.0,/7dnHgK1MIjMfZkkKvm0zJ5OCz9f.jpg,5.986525231996066
22,Mollo tutto,it,Comedy,José María Sánchez,['Renato Pozzetto'],1995,5.0,/1wLvceqPnh9a5Mm3ORc6NZeBkzZ.jpg,5.652743173036974
23,The Education of Little Tree,it,Drama,Richard Friedenberg,"['Joseph Ashton', ' James Cromwell']",1997,7.0,/ua5FkLbGQqmnXCe4cbTHVqIPiv7.jpg,6.7645287850992375
24,La scorta,it,Action,Ricky Tognazzi,"['Ugo Conti', ' Carlo Cecchi', ' Santi Bellina']",1993,6.0,/6yZoADfO79h6LhBoHgDEDySg4vH.jpg,5.976984564100475
25,Un ragazzo di Calabria,it,Drama,Luigi Comencini,"['Jacques Peyrac', ' Gian Maria Volontè']",1987,6.0,/xg9c1dY22TNb8LZMmWJlZlZXZGW.jpg,5.961694967012294
